time,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,temperature,gas,pressure,humidity,altitude,
1677279633,0,0,0,17.225703125,7692,995.6272805344971,34.11578517880219,147.7652633537372,
1677279634,0,0,0,17.2190625,1920,995.6365524566728,33.95381919222544,147.68696406457158,
1677279635,0,0,0,17.1739453125,3334,995.6410231855095,33.827559776908245,147.64920998001145,
1677279636,0,0,0,17.121796875,4454,995.6541009903268,33.76744509974635,147.53877227649087,
1677279638,0,0,0,17.0628125,5446,995.6591609384609,33.64572330204163,147.49604301585387,
1677279639,0,0,0,17.0063671875,6362,995.6989315739597,33.535436132923245,147.16020185145973,
1677279640,0,0,0,16.97140625,7244,995.7338358638264,33.53794448704261,146.86546325128344,
1677279641,0,0,0,16.954609375,8212,995.7685174246444,33.691786705354545,146.5726137040115,
1677279642,0,0,0,16.9610546875,9035,995.8148364750139,33.78672069742111,146.18151059597517,
1677279644,0,0,0,16.955,9853,995.8335420282795,34.05298525187743,146.02357111832157,
1677279645,0,0,0,16.920234375,10756,995.8331812388301,34.01655679880426,146.02661740470188,
1677279646,0,0,0,16.85890625,11605,995.8444266081547,34.28391653623214,145.9316687749182,
1677279647,0,0,0,16.8034375,12404,995.8450993635649,34.68066737886607,145.9259884906124,
1677279648,0,0,0,16.75734375,13193,995.8563101492812,34.69890661967729,145.83133277838556,
1677279649,0,0,0,16.7137890625,14052,995.8598901569526,35.03056822249829,145.801105981897,
1677279651,0,0,0,16.6688671875,14776,995.8527150462011,35.11613737458161,145.86168711728814,
1677279652,0,0,0,16.6106640625,15475,995.8894161885431,35.20615577543352,145.55181452262923,
1677279653,0,0,0,16.5565625,16180,995.8804540280164,35.24612645860722,145.6274823749714,
1677279654,0,0,0,16.50890625,17009,995.8720735417305,35.43253440438389,145.69823962906506,
1677279655,0,0,0,16.4659375,17684,995.8901233248152,35.709513437595014,145.54584416843483,
1677279657,0,0,0,16.4442578125,18382,995.9182846038362,35.57828552236421,145.30808117441435,
1677279658,0,0,0,16.4399609375,18982,996.0922357789626,35.82526697683197,143.83954863982663,
1677279659,0,0,0,16.442109375,19660,996.0247264623421,35.73546145143094,144.40945188115572,
1677279660,0,0,0,16.440546875,20210,995.9831877221285,35.89848651997697,144.7601310640932,
1677279661,0,0,0,16.44015625,20771,995.9605310260799,36.13508050526801,144.95140886751707,
1677279663,0,0,0,16.4559765625,21387,995.9192123824374,36.27192322162089,145.3002481207626,
1677279664,0,0,0,16.4969921875,22063,995.8792876884161,36.71094676752101,145.6373298638431,
1677279665,0,0,0,16.5503125,22733,995.8547933564842,36.71590765002956,145.84413942194539,
1677279666,0,0,0,16.6309765625,23084,995.8386326820058,36.84804161725422,145.98058883381879,
1677279667,0,0,0,16.7266796875,23871,995.8661444537144,37.0328019237062,145.748299782318,
1677279669,0,0,0,16.813984375,24921,995.8982516011665,37.097770882842696,145.4772173472358,
1677279670,0,0,0,16.880390625,25297,995.9005722609568,37.024540915659976,145.45762416153002,
1677279671,0,0,0,16.9425,26100,995.9448369389006,37.030381618447606,145.08390732687556,
1677279672,0,0,0,17.0141796875,26396,996.005049011193,36.92362509550212,144.57557177641365,
1677279673,0,1,1,17.078828125,27451,996.0010041754456,36.6802612579423,144.60971919543516,
1677279674,0,1,1,17.131171875,28151,995.9849014537738,36.48701318539424,144.74566313033714,
1677279676,0,1,1,17.1946484375,28612,995.9737834798777,36.22722636582704,144.8395253900151,
1677279677,0,1,1,17.2673046875,28988,995.9677763681299,36.092801524587394,144.89024011672993,
1677279678,0,1,1,17.324140625,29333,995.9709748813882,36.0303398128342,144.86323680502315,
1677279679,0,1,1,17.3673046875,29898,995.9835832072562,35.93843889404708,144.75679223580352,
1677279680,0,1,1,17.4059765625,30397,996.0327750378602,35.761662661338406,144.34150540556823,
1677279682,0,1,1,17.4200390625,30663,996.0443440906914,35.85873717801659,144.24383966384661,
1677279683,0,1,1,17.4309765625,31398,996.0507048595907,35.81466150088457,144.19014255534665,
1677279684,0,1,1,17.4454296875,31998,996.066314893638,35.799088205186536,144.0583650580206,
1677279685,0,1,1,17.4528515625,32671,996.0837698191572,35.73780848216007,143.9110152520063,
1677279686,0,1,1,17.4739453125,33136,996.0968833566371,35.55963106598307,143.80031565637003,
1677279688,0,1,1,17.485859375,33453,996.11843405159,35.46512165290163,143.61839528516356,
1677279689,0,1,1,17.4993359375,34079,996.1171566347865,35.55632933424987,143.62917852091522,
1677279690,0,1,1,17.4977734375,34613,996.1315075220066,35.30888203440516,143.5080370285918,
1677279691,0,1,1,17.5098828125,35254,996.1516884208058,35.10233836785629,143.3376845027085,
1677279692,1,2,2,17.5159375,35919,996.2363824411622,35.19825645659344,142.6227894172795,
1677279694,1,2,2,17.5161328125,36545,996.307920620015,35.20949821124386,142.01898001784556,
1677279695,1,2,2,17.5378125,36609,996.3694904833455,35.13852287028035,141.4993350950293,
1677279696,1,1,1,17.56984375,36931,996.4228824525576,35.05169383891093,141.04873202023583,
1677279697,1,1,1,17.60890625,37627,996.4778210717228,34.89831471827957,140.58509635564545,
1677279698,1,1,1,17.654609375,38037,996.5268700120562,34.80164381904043,140.17118210636818,
1677279700,1,1,1,17.7079296875,38598,996.5580848514354,34.61063179288665,139.90777487637712,
1677279701,1,1,1,17.765546875,38848,996.572707552194,34.44814776218497,139.784383135332,
1677279702,1,1,1,17.8200390625,39470,996.5413974223472,34.30785967093943,140.04859134755475,
1677279703,0,1,1,17.88,39845,996.5276651804576,34.07899040425561,140.16447197431086,
1677279704,0,1,1,17.9262890625,40266,996.5030087781254,34.0162417366356,140.37254025183648,
1677279705,0,1,1,17.9516796875,40657,996.5045986258967,33.745798774073585,140.35912385868812,
1677279707,0,1,1,17.95265625,41176,996.5011358058482,33.66250945864432,140.3883458957651,
1677279708,0,1,1,17.9548046875,41667,996.4877487568191,33.44059792533789,140.50131726465008,
1677279709,0,1,1,17.964765625,42001,996.4907728632996,33.37490381381571,140.47579716037734,
1677279710,1,1,1,17.97609375,42469,996.5011650214558,33.242851792662805,140.38809935082642,
1677279711,1,1,1,17.98703125,43169,996.548235504844,33.03893496856187,139.99088812109562,
1677279713,1,1,1,17.95890625,43663,996.5573617348846,32.831936451389275,139.91387683851818,
1677279714,1,1,1,17.8940625,43984,996.5663693390776,32.7159169626312,139.83786713479066,
1677279715,1,1,1,17.8190625,44357,996.5957494842124,32.61017925657797,139.58994979140581,
1677279716,1,1,1,17.7091015625,44927,996.5922634150007,32.60629542583815,139.61936584508882,
1677279717,1,1,1,17.6188671875,44879,996.6114370129253,32.42779577540734,139.4575767475789,
1677279719,1,1,1,17.50265625,46266,996.6228654320666,32.3463838335265,139.36114358773526,
1677279720,1,1,1,17.367890625,46012,996.6338030191749,32.24699876779335,139.26885291393776,
1677279721,1,1,1,17.24328125,46420,996.6395627870678,32.252980664483054,139.22025268347338,
1677279722,1,1,1,17.146796875,46626,996.6260776294195,32.26133933713812,139.33403918294934,
1677279723,1,1,1,17.0622265625,46887,996.8137279888151,32.47417947769607,137.75077500428802,
1677279725,1,1,1,17.0005078125,47043,996.7565006247071,32.474461736981986,138.2335944144325,
1677279726,1,1,1,16.89640625,47740,996.7047817076942,32.56472574365753,138.66995912193647,
1677279727,1,1,1,16.7946484375,48097,996.6874291651577,32.523093576589375,138.81637072579338,
1677279728,0,0,0,16.7157421875,48097,996.6776905734617,32.676075522516825,138.8985407315453,
1677279729,0,0,0,16.6598828125,48854,996.6488186470799,32.73193760550985,139.1421533235102,
1677279730,0,0,0,16.5784375,49344,996.6314165281938,32.87384928022925,139.28898990516242,
1677279732,0,1,1,16.5176953125,49607,996.6350022343582,32.85765618408169,139.2587340613494,
1677279733,0,1,1,16.4602734375,50141,996.622107237556,32.95756039706473,139.36754121584218,
1677279734,0,1,1,16.4298046875,49992,996.6186455011823,33.026699637087205,139.39675131902746,
1677279735,1,1,1,16.3950390625,50262,996.6198556728629,33.08997815273749,139.38653989095434,
1677279736,1,1,1,16.3626171875,50934,996.6300505990105,33.09825318880468,139.30051550744508,
1677279738,1,1,1,16.3294140625,51090,996.5949321204608,33.14511823594106,139.596846840334,
1677279739,1,1,1,16.2782421875,51752,996.5602775663922,33.289932229663705,139.88927184558548,
1677279740,1,1,1,16.2419140625,51752,996.5520902218218,33.430615198018096,139.95836019523188,
1677279741,1,1,1,16.2438671875,51561,996.5570431001299,33.39758650636135,139.91656561397576,
1677279742,0,0,0,16.2409375,52074,996.5487676840859,33.46927010449333,139.98639733476872,
1677279744,0,0,0,16.2548046875,52204,996.5363812775497,33.703123464975945,140.09092033865457,
1677279745,0,0,0,16.2596875,52433,996.5259178866437,33.79782619847611,140.17921674630185,
1677279746,0,0,0,16.2606640625,52335,996.5190868550949,33.84784903062316,140.2368615183909,
1677279747,1,1,1,16.26671875,52302,996.5122716588326,33.87612621321499,140.29437298068189,
1677279748,1,1,1,16.2528515625,52863,996.5246595231242,34.06376547879915,140.18983562773317,
1677279750,1,1,1,16.226875,53814,996.5625188219377,34.0726134108657,139.8703592434072,
1677279751,1,1,1,16.208125,53676,996.6851992161014,34.271195789623015,138.8351860097297,
1677279752,1,1,1,16.187421875,53608,996.6404782972567,34.28607695139209,139.2125277392834,
1677279753,1,2,2,16.1501171875,53953,996.9707313872393,34.46658197082824,136.4262741413106,
1677279754,1,2,2,16.103828125,54338,996.8798810577941,34.72462594341149,137.19267861514166,
1677279756,1,2,2,16.0298046875,54693,996.7866973749465,34.7850628050468,137.97882578355623,
1677279757,1,2,2,15.9567578125,55052,996.7391208108328,35.08038017874583,138.38022996012836,
1677279758,1,2,2,15.8925,55674,996.7062123955661,35.24816008522308,138.65788782417923,
1677279759,1,2,2,15.832734375,56010,996.6689582632924,35.259615444849445,138.97222072376454,
1677279760,2,2,2,15.7387890625,56122,996.6354739023263,35.24002098133257,139.25475417894967,
1677279761,2,2,2,15.6434765625,56235,996.6148926494153,35.23151420423294,139.4284179443248,
1677279763,2,2,2,15.53859375,57078,996.5850497895127,35.22216458220046,139.68023592657104,
1677279764,1,2,2,15.414375,57313,996.5634215808535,35.36785154068141,139.86274141577195,
1677279765,1,2,2,15.28859375,57747,996.5357439700961,35.46306185164202,140.09629830212936,
1677279766,1,2,2,15.1610546875,58392,996.511827964704,35.51891611289359,140.2981171976369,
1677279767,1,2,2,15.028828125,59009,996.4935277285846,35.66408561814505,140.45254920773223,
1677279769,1,2,2,14.8915234375,59428,996.4666697805019,35.69667148812216,140.6792021853257,
1677279770,1,2,2,14.74796875,59852,996.4681224591117,35.99258958333102,140.66694297141217,
1677279771,2,3,3,14.6368359375,60110,996.4713736809853,36.18499811333515,140.63950583012297,
1677279772,2,3,3,14.5579296875,60413,996.6888055211745,36.296056617937715,138.80475768411893,
1677279773,2,3,3,14.46984375,60588,996.6393512228746,36.344397135655974,139.22203783272946,
1677279775,1,3,3,14.38390625,60897,996.5749099713788,36.066652022090004,139.76579843714913,
1677279776,1,3,3,14.2841015625,61119,996.512562885984,36.113894605330614,140.29191539280313,
1677279777,1,3,3,14.1821484375,61030,996.473586641032,36.1609543871154,140.6208306473706,
1677279778,1,2,2,14.0825390625,61568,996.4401854189412,36.40515363830335,140.9027073273979,
1677279779,1,2,2,13.988203125,61750,996.4408693451402,36.76298917112281,140.89693552035143,
1677279781,1,2,2,13.9247265625,62024,997.0765617887587,37.549232253878635,135.5335705488382,
1677279782,1,2,3,13.8708203125,62162,996.9525833390679,37.215670836441596,136.57936477681758,
1677279783,1,2,3,13.8253125,61932,996.8696482319532,37.44935680420204,137.27900527454753,
1677279784,0,1,2,13.790546875,62116,997.5296015562897,37.9570787385768,131.71294366554014,
1677279785,0,1,2,13.75578125,62674,997.2606405809171,37.78904114635365,133.98100668453023,
1677279786,0,1,2,13.7333203125,62768,997.1336790251672,38.02000861676786,135.051805499384,
1677279788,1,2,3,13.724140625,63004,996.9986246927309,38.18990180677112,136.19098029665156,
1677279789,1,2,2,13.7159375,63338,996.8550960207972,38.308771943412644,137.4017725766359,
1677279790,1,2,2,13.7118359375,63434,997.5140448769947,38.63358723501778,131.84411473971605,
1677279791,1,2,2,13.71984375,63675,997.2543872391864,38.594366537815866,134.03374503305997,
1677279792,0,0,1,13.7266796875,63338,997.039960717879,38.60071996716668,135.84230025694805,
1677279794,0,0,1,13.74328125,63434,996.8941376772804,38.85374839886972,137.07240742968597,
1677279795,0,0,1,13.7680859375,63338,996.7772114513324,39.02206959369215,138.05885742349759,
1677279796,1,1,2,13.8036328125,63626,996.7086006385405,39.312050881569924,138.6377372742889,
1677279797,1,1,2,13.8425,63675,996.6455345380167,39.430567001829566,139.16986400553995,
1677279798,1,1,2,13.8962109375,63918,996.6123560412859,39.60234681628927,139.44982194037016,
1677279800,1,1,3,13.953828125,64113,996.6514590448438,39.740191275761205,139.11987420750995,
1677279801,1,1,3,14.01984375,64212,997.4601233647747,40.08073434949223,132.29878388833603,
1677279802,1,1,3,14.1032421875,64015,997.2287418425002,40.18117740219773,134.25003153101005,
1677279803,0,0,1,14.185078125,63869,997.072251402247,40.137217901397165,135.56992814411254,
1677279804,0,0,1,14.2555859375,64508,996.9574678368704,40.32890782472154,136.53816062674844,
1677279806,0,0,1,14.33234375,64808,1007.2904408093491,41.182527538775346,49.73597350730024,
1677279807,0,0,1,14.423359375,64508,1006.9513583904528,41.087031665427716,52.57296965108792,
1677279808,0,1,2,14.50734375,65009,1004.36849255286,40.51558629377832,74.20842199856392,
1677279809,0,1,2,14.5856640625,65467,1004.8043758890559,40.529103210633274,70.5540749005177,
1677279810,0,1,2,14.659296875,65775,1004.134891900748,40.43220254816854,76.16740546110766,
1677279812,0,1,2,14.6985546875,65930,1002.2642498592157,39.98542081282596,91.86800019659363,
1677279813,0,1,2,14.710078125,66139,1000.7859398425871,40.00962720147779,104.2924835118241,
1677279814,0,1,2,14.6891796875,66296,999.6956318190489,39.909522914498474,113.46552221886485,
1677279815,0,1,2,14.6503125,67146,998.857249794569,39.784691041285825,120.5245542973417,
1677279816,0,1,2,14.603046875,67092,998.226050373491,39.75704862962237,125.8423108474427,
1677279817,0,1,2,14.555,67200,997.7438585267112,39.55092478512636,129.90653656181064,
1677279819,0,1,2,14.49484375,67471,997.4001109675976,39.61988911140096,132.8048351141371,
1677279820,0,1,2,14.426875,67853,997.2340277878558,39.76872637356546,134.20545089640677,
1677279821,0,1,2,14.363203125,68463,996.9992228508023,39.57263390369905,136.185934595487,
1677279822,0,1,2,14.288984375,68519,997.7826987806008,40.44202227109703,129.57910681786186,
1677279823,0,1,2,14.2266796875,68519,997.4168653916938,39.98552557395576,132.66355187734385,
1677279825,0,1,2,14.170234375,68857,997.1384919119188,39.79566156132856,135.01121140787768,
1677279826,0,1,2,14.119453125,68857,996.9320426050855,39.744688473726484,136.7526420017126,
1677279827,0,1,2,14.0704296875,68857,996.7606019491936,39.7284370482306,138.1989913564629,
1677279828,0,1,2,14.0145703125,68632,996.6907255680037,40.143678287189815,138.7885572579872,
1677279829,0,1,2,13.9637890625,69085,996.6023667943995,40.35234920582943,139.53411201510656,
1677279831,0,1,2,13.9175,68857,996.5417620347316,40.52701084440806,140.04551455427014,
1677279832,0,0,1,13.8821484375,69085,996.5011469326768,40.7318760479604,140.3882519985846,
1677279833,0,0,1,13.8425,69256,996.4651413962197,40.94816462092146,140.69210029811836,
1677279834,0,0,1,13.7925,69892,996.42866750993,41.128872418996266,140.99991003443537,
1677279835,1,1,1,13.73546875,70126,996.4006485719325,41.28582652759164,141.23637312594133,
1677279837,1,1,1,13.674921875,70303,996.392018512825,41.43675222255044,141.30920675169477,
1677279838,1,1,1,13.6251171875,70185,996.3878718084602,41.58305373946394,141.3442031611037,
1677279839,1,1,1,13.5821484375,70185,996.3833608972791,41.753461525938086,141.382273454028,
1677279840,1,1,1,13.53546875,70599,996.381056252601,41.91200011466055,141.40172379064768,
1677279841,1,1,1,13.4887890625,70778,996.3804274594384,42.09403158379434,141.40703057540935,
1677279842,1,2,2,13.4528515625,70480,996.3674448626386,42.25395925922507,141.5165995592744,
1677279844,1,2,2,13.42140625,70898,996.3619784924991,42.426187823188066,141.56273432882048,
1677279845,1,2,2,13.3911328125,71078,996.3584702591236,42.627990970932814,141.592343031559,
1677279846,1,2,2,13.3692578125,71078,996.3589110604065,42.783982480925005,141.588622762974,
1677279847,0,1,1,13.336640625,71381,996.3582107321334,42.93902265153393,141.59453338449157,
1677279848,0,1,1,13.3075390625,71564,996.3516005493341,43.08281416674788,141.65032208568726,
1677279850,0,1,1,13.2829296875,71687,996.3508242408654,43.256578189969886,141.65687400301064,
1677279851,0,1,1,13.26671875,72057,996.3472635043663,43.437268631530266,141.68692609338572,
1677279852,0,1,1,13.2567578125,71933,996.3474291644037,43.5952320350703,141.68552794519454,
1677279853,0,1,1,13.239375,71871,996.3452732919241,43.72899294078275,141.7037232304634,
1677279854,0,1,1,13.2196484375,72619,996.3526659868044,43.86261629926552,141.64132997330833,
1677279856,0,1,1,13.2071484375,72431,996.3586834104025,43.95575985224636,141.59054408016965,
1677279857,0,1,1,13.1940625,72999,996.3586661504761,44.054800765931475,141.5906897502636,
1677279858,0,1,1,13.18,72999,996.3570128790474,44.147886497125356,141.60464301730835,
1677279859,0,1,1,13.1630078125,73576,996.3538212058693,44.21114954046739,141.63158012822396,
1677279860,0,1,1,13.1329296875,73447,996.3539759734454,44.24941284952116,141.63027391788245,
1677279862,0,1,1,13.1034375,73576,996.353424068399,44.34099143267767,141.63493189736857,
1677279863,1,2,2,13.0669140625,73835,996.3528803906983,44.4496437314687,141.63952044158066,
1677279864,1,1,2,13.01828125,74162,996.3573068502816,44.5511693617384,141.6021619598543,
1677279865,1,1,2,12.9659375,74492,996.3555069823634,44.628651512859804,141.61735248846855,
1677279866,1,1,2,12.917109375,74625,996.3579006164609,44.694673732107795,141.59715069581662,
1677279868,1,1,2,12.8622265625,74892,996.3551916022084,44.74229172221988,141.6200142367785,
1677279869,1,1,2,12.8003125,75773,996.3491074545705,44.77732165871032,141.67136341503047,
1677279870,1,1,2,12.752265625,75704,996.3443594246065,44.819742244995524,141.7114361622077,
1677279871,1,1,2,12.707734375,76048,996.332028416968,44.86253974849664,141.8155089638804,
1677279872,1,1,2,12.656953125,76117,996.3277303694557,44.90469110946687,141.8517844153213,
1677279873,1,1,2,12.601875,75910,996.3246358721295,44.98795588219001,141.8779020011277,
1677279875,0,1,1,12.54796875,75979,996.3234922916408,45.10108024541242,141.88755384755635,
1677279876,0,1,1,12.495625,76395,996.3266368764722,45.214435595617616,141.86101349862398,
1677279877,0,1,1,12.4378125,76745,996.3222870715159,45.33323074321111,141.89772594368705,
1677279878,0,1,1,12.378828125,76956,996.3277341692902,45.45792811053564,141.85175234472524,
1677279879,0,1,1,12.321796875,77027,996.3280289585913,45.582912681735756,141.8492643237566,
1677279881,0,1,1,12.2704296875,77383,996.3310757341989,45.708577907444145,141.82354958010117,
1677279882,1,2,2,12.221796875,77311,996.3286038390518,45.810757521896825,141.84441233580978,
1677279883,1,2,2,12.17453125,77598,996.3317768246841,45.88330090744773,141.8176323951917,
1677279884,1,2,2,12.127265625,78397,996.3298954321907,45.9678086976332,141.83351130504272,
1677279885,1,1,1,12.07609375,78766,996.3180937748555,46.02805220898063,141.9331175783136,
1677279887,1,1,1,12.02453125,79213,996.3258014832322,46.08827195849952,141.86806422502124,
1677279888,1,1,1,11.9739453125,79438,996.3334526970035,46.08290428092971,141.80348809138422,
1677279889,1,2,2,11.9282421875,79893,996.3358313352894,46.066114519809624,141.78341250044815,
1677279890,1,2,2,11.8878125,80818,996.3386387912428,46.037948263267936,141.7597177592837,
1677279891,1,2,2,11.845625,80353,996.3368106572489,45.9976679500642,141.7751470822322,
1677279893,1,2,2,11.806171875,80430,996.3378796436059,45.987528330676895,141.76612490941852,
1677279894,1,2,2,11.76671875,80585,996.3355808247024,45.98335921155489,141.78552679573903,
1677279895,1,2,2,11.726484375,80740,996.342047568316,46.0149153059168,141.7309479806032,
1677279896,1,2,2,11.684296875,81131,996.3418704463385,46.082088250534625,141.73244287255054,
1677279897,1,2,2,11.6423046875,81210,996.3487337715268,46.1313880912196,141.6745172450685,
1677279898,1,2,2,11.5997265625,81447,996.357965868032,46.180637864702334,141.59659998617235,
1677279900,1,2,2,11.556953125,81605,996.3584616970979,46.24780426836176,141.59241529323987,
1677279901,1,2,2,11.5159375,81765,996.3618980810369,46.32713521038514,141.56341298258133,
1677279902,1,2,2,11.4770703125,81765,996.355493009896,46.4127070978702,141.61747041341468,
1677279903,1,3,3,11.43703125,81526,996.3571939727188,46.53409854853848,141.6031146234647,
1677279904,1,3,3,11.3985546875,81925,996.359829520186,46.69167364232649,141.5808711630808,
1677279906,0,2,2,11.3618359375,82005,996.3570103225414,46.82559186528058,141.60466459369934,
1677279907,1,2,2,11.3255078125,81925,996.3632375286321,46.98364913306023,141.5521083668631,
1677279908,1,2,2,11.2958203125,81765,996.3688452969152,47.16057379438919,141.50478028419772,
1677279909,1,2,2,11.2731640625,81526,996.3644167938363,47.37450923129438,141.5421556622101,
1677279910,1,3,3,11.2571484375,81289,996.3694492130836,47.58340127901273,141.49968340416402,
1677279912,1,3,3,11.2430859375,81765,996.3760782951546,47.859084374582764,141.44373600860786,
1677279913,1,3,3,11.2253125,82327,996.3764795869045,48.06233228919289,141.4403492404401,
1677279914,1,3,3,11.2079296875,82571,996.3825719543969,48.21750382145325,141.38893183192326,
1677279915,1,3,3,11.1942578125,82408,996.3797788915003,48.336926468649494,141.41250425489807,
1677279916,1,3,3,11.1829296875,82408,996.3809179369363,48.462737555925266,141.4028911241366,
1677279918,1,2,2,11.16828125,82734,996.3798426580598,48.62461768305131,141.41196608800388,
1677279919,1,2,2,11.16515625,82327,996.3678832829444,48.763659053604904,141.51289941260922,
1677279920,1,2,2,11.15578125,82408,996.3672618493925,48.9324653530933,141.5181441410699,
1677279921,1,2,2,11.1471875,82571,996.3662721723699,49.10152086846518,141.52649674873322,
1677279922,1,2,2,11.1423046875,82816,996.3647939982097,49.265069839980605,141.53897215324642,
1677279923,1,2,2,11.1368359375,82898,996.3707266087451,49.416536267897634,141.48890255773514,
1677279925,1,2,2,11.1278515625,83062,996.3707595092883,49.56774373084264,141.4886248869051,
1677279926,2,3,3,11.121796875,83643,996.3689932185782,49.70721517144081,141.5035318673661,
1677279927,2,3,3,11.1190625,84147,996.3761561294508,49.786172490780984,141.44307911309187,
1677279928,1,3,3,11.1212109375,84402,996.3747250815035,49.7864118428341,141.455156687414,
1677279929,0,2,2,11.1153515625,84829,996.3766438771557,49.76746484005986,141.43896268598297,
1677279931,0,2,2,11.109296875,85261,996.3815922272345,49.71801587022388,141.3972003625315,
1677279932,0,2,2,11.1024609375,85435,996.388586739373,49.65021324074682,141.33816944189087,
1677279933,0,2,2,11.09171875,86049,996.3890255658625,49.56982281714387,141.3344659307727,
1677279934,1,3,3,11.084296875,86226,996.3899999279115,49.508104107630864,141.32624272936994,
1677279935,1,2,2,11.0801953125,86315,996.3898314699951,49.44677630419313,141.3276644420892,
1677279937,1,2,2,11.0751171875,86494,996.4031320135399,49.361028392156165,141.21541414552033,
1677279938,0,1,1,11.0657421875,86673,996.4192928524499,49.4877831709067,141.07902594158386,
1677279939,0,1,1,11.060859375,87033,996.4228486083423,49.438548666678365,141.04901764327954,
1677279940,0,1,1,11.0516796875,87305,996.4175142340864,49.35235319834925,141.09403637191002,
1677279941,0,1,1,11.04015625,87214,996.4048890334388,49.24162720022038,141.20058581933716,
1677279943,0,0,0,11.026875,87579,996.4144916186349,49.47738963997895,141.11954541200996,
1677279944,0,0,0,11.008125,87763,996.4333778990591,49.353620718067575,140.96015769392545,
1677279945,0,1,1,10.9790234375,88318,996.4499928220118,49.33824100070976,140.81994075347123,
1677279946,0,0,0,10.9407421875,88692,996.4327328171444,49.35834067379269,140.96560171837314,
1677279947,0,0,0,10.8969921875,89069,996.4247492300091,49.23191804963612,141.0329776514432,
1677279949,0,0,0,10.8493359375,89450,996.4185917136028,49.21451591863059,141.08494311382015,
1677279950,0,0,0,10.8005078125,89545,996.4121360097045,49.178765299407885,141.13942536529663,
1677279951,0,0,0,10.7512890625,89354,996.428504587264,49.22803415869062,141.00128498880463,
1677279952,0,0,0,10.7048046875,89069,996.4142194557348,49.228999846132524,141.12184230479676,
1677279953,0,0,0,10.6657421875,89545,996.4123878346493,49.32802591112918,141.13730010912295,
1677279954,0,0,0,10.63,89354,996.4228346077069,49.24508530973373,141.0491357994925,
1677279956,0,0,0,10.596796875,89069,996.4190865014084,49.56984959514701,141.08076741463395,
1677279957,0,0,0,10.5704296875,89069,996.4502950885959,49.64000262021762,140.81738987770345,
1677279958,0,0,0,10.5489453125,88318,996.4712474482363,49.765558765016536,140.6405711100444,
1677279959,0,0,0,10.526875,89069,996.477794627013,49.9277302647081,140.58531952173888,
1677279960,0,0,0,10.509296875,88880,996.4650481526415,49.98068589595621,140.69288718593666,
1677279962,0,0,0,10.4925,89450,996.4452273062815,50.155849233753365,140.86015778128086,
1677279963,0,0,0,10.4786328125,90318,996.4353573458164,50.22761089545333,140.94345261383995,
1677279964,0,0,0,10.463984375,90221,996.4409456550956,50.293201148583364,140.89629152367448,
1677279965,0,0,0,10.446015625,90415,996.4543729358119,50.327875536834185,140.78297633788196,
1677279966,0,0,0,10.4286328125,90611,996.4603972561493,50.423775361581136,140.73213643978718,
1677279968,0,0,0,10.4063671875,91203,996.4733117330793,50.56202281185645,140.62315059536192,
1677279969,0,0,0,10.3887890625,91104,996.5091877978438,50.309277480337826,140.32039689274433,
1677279970,0,0,0,10.376875,90906,996.5260679558555,50.424119986072895,140.17795036640857,
1677279971,0,0,0,10.365546875,91402,996.5389006227424,50.581947343092644,140.0696606955008,
1677279972,0,0,0,10.36125,91803,996.5484513984143,50.53250136006426,139.98906630629722,
1677279974,0,0,0,10.3524609375,91904,996.5571636015333,50.49480534775937,139.91554877184765,
1677279975,0,0,0,10.3407421875,92207,996.545863449007,50.334492772638725,140.01090470130708,
1677279976,0,0,0,10.322578125,92207,996.5505641134945,50.29579994209917,139.971238207248,
1677279977,0,0,0,10.3048046875,93027,996.5525659440583,50.45890303172321,139.95434583295608,
1677279978,0,0,0,10.2815625,92718,996.5470564754181,50.32790996402665,140.00083734963397,
1677279979,0,0,0,10.2419140625,93338,996.5391327599276,50.390745403847355,140.06770179434943,
1677279981,0,0,0,10.19640625,93442,996.541476434903,50.318447184933135,140.04792459749646,
1677279982,0,0,0,10.146015625,92615,996.5456650435427,50.24564700340467,140.0125789464833,
1677279983,0,0,0,10.08234375,92513,996.6096554825069,50.07986086519722,139.47260940672555,
1677279984,0,0,0,10.0258984375,92005,996.6321300344913,49.99432273953411,139.28296940060892,
1677279985,0,0,0,9.9770703125,92005,996.6740908429142,50.15977762283907,138.92891385854014,
1677279987,0,0,0,9.9333203125,93234,996.6994343627013,50.16715329306598,138.71507697929525,
1677279988,0,0,0,9.89875,93966,996.6882514413671,50.01690185589048,138.8094327461448,
1677279989,0,0,0,9.8753125,94283,996.6957757802193,50.24011631972853,138.7459461314848,
